row_id,week_start,pilot_name,region,channel,store_cluster,stores,avg_temp_f,weather_index,units_sold,revenue,gross_margin_pct,repeat_rate,attach_rate,cannibalization_index,promo_spend,app_impressions,conversion_rate,customer_segment,ops_complexity_score,stockout_rate,nps
1,2025-07-14,Pineapple Passionfruit Refresher,South,In-store,south-4,66,86,0.747,4313,25662.35,0.647,0.23,0.151,0.124,11286,116028,0.0745,Cold coffee loyalist,1.14,0.073,52
2,2025-05-12,Summer Berry Refresher,West,Delivery,west-4,134,85,0.674,10071,59922.45,0.703,0.216,0.067,0.121,29346,483606,0.054,Rewards power user,3.14,0.072,49
3,2025-06-02,Summer Berry Refresher,West,In-store,west-3,150,66,0.423,7200,42840,0.629,0.172,0.169,0.169,13800,343050,0.0707,Rewards power user,3.51,0.02,33
4,2025-05-05,Citrus Green Tea,West,Delivery,west-4,120,89,0.791,8818,52467.1,0.602,0.27,0.062,0.051,11400,366960,0.0648,Morning commuter,5.35,0.119,45
5,2025-12-08,Spiced Mocha Cold Brew,West,Mobile Order,west-3,115,78,0.585,11543,68680.85,0.717,0.286,0.103,0.293,35535,229770,0.0914,Morning commuter,1.65,0.009,54
6,2025-09-22,Iced Ube Coconut Macchiato,South,In-store,south-1,144,97,0.985,12501,74380.95,0.658,0.281,0.238,0.2,12240,293616,0.0981,Gen Z afternoon,1.11,0.02,51
7,2025-06-02,Summer Berry Refresher,Southeast,Drive-thru,southeast-6,218,60,0.35,10400,61880,0.765,0.16,0.068,0.243,64310,367330,0.0762,Morning commuter,4.38,0.06,38
8,2025-07-07,Pineapple Passionfruit Refresher,South,Mobile Order,south-4,40,95,0.982,2759,16416.05,0.777,0.259,0.153,0.179,8520,130040,0.0659,Gen Z afternoon,3.39,0.035,55
9,2025-12-15,Citrus Green Tea,Florida,Drive-thru,florida-3,210,61,0.35,6609,39323.55,0.788,0.202,0.133,0.186,36960,275520,0.0832,Cold coffee loyalist,5.56,0.115,34
10,2025-07-21,Spiced Mocha Cold Brew,Texas,RTD Retail,texas-8,173,70,0.458,10195,45775.55,0.778,0.264,0.094,0.154,23182,631450,0.0849,Rewards power user,1.33,0.038,58
11,2026-01-26,Iced Ube Coconut Macchiato,Florida,RTD Retail,florida-5,199,62,0.35,7286,32714.14,0.7,0.201,0.08,0.235,32437,521380,0.0764,Seasonal trial seeker,1.8,0.048,51
12,2025-07-28,Summer Berry Refresher,Florida,In-store,florida-8,74,63,0.35,3679,21890.05,0.694,0.181,0.142,0.226,17686,310578,0.06,Morning commuter,4.43,0.063,34
13,2025-09-08,Spiced Mocha Cold Brew,Texas,Mobile Order,texas-3,49,92,0.826,6239,37122.05,0.778,0.277,0.154,0.223,4116,188111,0.0792,Warm-weather commuter,3.71,0.059,57
14,2025-05-12,Cinder Orange Cold Brew Sim,California,In-store,california-8,156,84,0.712,12088,71923.6,0.644,0.296,0.176,0.229,24492,482820,0.0718,Seasonal trial seeker,2.24,0.076,51
15,2025-06-23,Citrus Green Tea,West,Drive-thru,west-7,63,83,0.632,3708,22062.6,0.731,0.21,0.176,0.2,18018,130725,0.0743,Seasonal trial seeker,3.39,0.039,39
16,2026-01-26,Spiced Mocha Cold Brew,Southeast,Delivery,southeast-4,156,85,0.686,12097,71977.15,0.763,0.298,0.117,0.226,40560,372840,0.1033,Seasonal trial seeker,3.01,0.077,45
17,2026-01-26,Blood Orange Espresso Tonic,South,Drive-thru,south-8,35,75,0.517,2278,13554.1,0.643,0.188,0.094,0.233,6685,136255,0.0817,Seasonal trial seeker,3.7,0.019,49
18,2025-05-19,Pineapple Passionfruit Refresher,Texas,RTD Retail,texas-8,95,60,0.35,4988,22396.12,0.714,0.168,0.128,0.081,16055,119795,0.0454,Cold coffee loyalist,3.61,0.002,36
19,2025-12-08,Iced Ube Coconut Macchiato,New York Metro,Mobile Order,new-york-metro-4,58,68,0.425,1992,11852.4,0.73,0.175,0.195,0.231,11890,189950,0.078,Cold coffee loyalist,3.71,0.08,38
20,2025-11-03,Iced Ube Coconut Macchiato,California,RTD Retail,california-3,185,59,0.35,10717,48119.33,0.637,0.202,0.234,0.235,50875,437340,0.0831,Warm-weather commuter,1.78,0.024,52
21,2025-08-04,Spiced Mocha Cold Brew,Florida,RTD Retail,florida-6,191,91,0.82,17795,79899.55,0.626,0.328,0.152,0.313,16617,521048,0.097,Morning commuter,2.27,0.012,52
22,2026-02-02,Vanilla Cream Cold Brew,South,Drive-thru,south-4,139,85,0.694,12270,73006.5,0.724,0.289,0.068,0.155,40310,550162,0.0979,Seasonal trial seeker,4.86,0.063,44
23,2025-12-22,Iced Ube Coconut Macchiato,New York Metro,In-store,new-york-metro-1,118,88,0.84,9005,53579.75,0.628,0.265,0.17,0.156,31034,282846,0.0864,Rewards power user,2.13,0.033,46
24,2025-11-10,Vanilla Cream Cold Brew,Pacific Northwest,Drive-thru,pacific-northwest-4,121,62,0.35,7663,45594.85,0.763,0.267,0.121,0.156,17787,272371,0.0824,Seasonal trial seeker,1.44,0.013,60
